PostID;PostName;Goulot;WeekIndex;WeekStartDate;WeekEndDate;AllowedHours;PlannedHours;DeltaHours;RespectCapacity
3843;MIREUSES SEMI AUTO 13602B;0;3;2026-01-26;2026-02-01;INF;7.72;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;4;2026-02-02;2026-02-08;INF;17.38;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;5;2026-02-09;2026-02-15;INF;20.32;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;6;2026-02-16;2026-02-22;INF;21.95;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;7;2026-02-23;2026-03-01;INF;24.18;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;8;2026-03-02;2026-03-08;INF;24.05;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;9;2026-03-09;2026-03-15;INF;24.18;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;10;2026-03-16;2026-03-22;INF;24.22;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;11;2026-03-23;2026-03-29;INF;24.1;;N/A
3843;MIREUSES SEMI AUTO 13602B;0;12;2026-03-30;2026-04-05;INF;23.6;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;3;2026-01-26;2026-02-01;INF;8.95;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;4;2026-02-02;2026-02-08;INF;19.98;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;5;2026-02-09;2026-02-15;INF;23.4;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;6;2026-02-16;2026-02-22;INF;25.32;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;7;2026-02-23;2026-03-01;INF;27.83;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;8;2026-03-02;2026-03-08;INF;27.75;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;9;2026-03-09;2026-03-15;INF;27.82;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;10;2026-03-16;2026-03-22;INF;27.88;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;11;2026-03-23;2026-03-29;INF;27.68;;N/A
4688;ETIQUETEUSE BAUSCH+STROBEL;0;12;2026-03-30;2026-04-05;INF;27.1;;N/A
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;3;2026-01-26;2026-02-01;35.0;11.25;23.75;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;4;2026-02-02;2026-02-08;35.0;25.02;9.98;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;5;2026-02-09;2026-02-15;35.0;29.33;5.67;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;6;2026-02-16;2026-02-22;35.0;31.72;3.28;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;7;2026-02-23;2026-03-01;35.0;34.9;0.1;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;8;2026-03-02;2026-03-08;35.0;34.78;0.22;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;9;2026-03-09;2026-03-15;35.0;34.97;0.03;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;10;2026-03-16;2026-03-22;35.0;34.97;0.03;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;11;2026-03-23;2026-03-29;35.0;34.72;0.28;OUI
5019;BLISTEREUSE NOACK SERINGUE LIQ;1;12;2026-03-30;2026-04-05;35.0;33.97;1.03;OUI
5022;ENCARTONNEUSE ZANASI SER LIQ;0;3;2026-01-26;2026-02-01;INF;9.95;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;4;2026-02-02;2026-02-08;INF;22.15;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;5;2026-02-09;2026-02-15;INF;25.97;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;6;2026-02-16;2026-02-22;INF;28.03;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;7;2026-02-23;2026-03-01;INF;30.87;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;8;2026-03-02;2026-03-08;INF;30.77;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;9;2026-03-09;2026-03-15;INF;30.9;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;10;2026-03-16;2026-03-22;INF;30.92;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;11;2026-03-23;2026-03-29;INF;30.7;;N/A
5022;ENCARTONNEUSE ZANASI SER LIQ;0;12;2026-03-30;2026-04-05;INF;25.43;;N/A
4706;CHAINE DE CONDITIONNEMENT N1N2;0;5;2026-02-09;2026-02-15;INF;0.3;;N/A
4706;CHAINE DE CONDITIONNEMENT N1N2;0;6;2026-02-16;2026-02-22;INF;9.95;;N/A
4706;CHAINE DE CONDITIONNEMENT N1N2;0;10;2026-03-16;2026-03-22;INF;0.15;;N/A
2362;BALANCE METLER;0;1;2026-01-12;2026-01-18;INF;20.8;;N/A
2362;BALANCE METLER;0;2;2026-01-19;2026-01-25;INF;20.8;;N/A
2362;BALANCE METLER;0;3;2026-01-26;2026-02-01;INF;20.8;;N/A
2362;BALANCE METLER;0;4;2026-02-02;2026-02-08;INF;20.8;;N/A
2362;BALANCE METLER;0;5;2026-02-09;2026-02-15;INF;17.3;;N/A
2362;BALANCE METLER;0;6;2026-02-16;2026-02-22;INF;11.5;;N/A
2362;BALANCE METLER;0;7;2026-02-23;2026-03-01;INF;11.5;;N/A
2362;BALANCE METLER;0;8;2026-03-02;2026-03-08;INF;11.5;;N/A
2362;BALANCE METLER;0;9;2026-03-09;2026-03-15;INF;11.5;;N/A
2362;BALANCE METLER;0;10;2026-03-16;2026-03-22;INF;14.38;;N/A
2362;BALANCE METLER;0;11;2026-03-23;2026-03-29;INF;19.02;;N/A
2362;BALANCE METLER;0;12;2026-03-30;2026-04-05;INF;11.5;;N/A
4217;FONDOIR  SUPPO;0;1;2026-01-12;2026-01-18;INF;64.53;;N/A
4217;FONDOIR  SUPPO;0;2;2026-01-19;2026-01-25;INF;64.53;;N/A
4217;FONDOIR  SUPPO;0;3;2026-01-26;2026-02-01;INF;64.53;;N/A
4217;FONDOIR  SUPPO;0;4;2026-02-02;2026-02-08;INF;64.53;;N/A
4217;FONDOIR  SUPPO;0;5;2026-02-09;2026-02-15;INF;57.03;;N/A
